sig_name,pr_counts,sig_num
SBS1,500,1
SBS10a,100,2
SBS10b,100,3
SBS11,100,4
SBS12,500,5
SBS13,100,6
SBS14,100,7
SBS15,100,8
SBS16,1000,9
SBS17a,500,10
SBS17b,500,11
SBS18,100,12
SBS19,100,13
SBS2,100,14
SBS20,100,15
SBS21,100,16
SBS22,500,17
SBS23,500,18
SBS24,500,19
SBS25,100,20
SBS26,100,21
SBS27,100,22
SBS28,100,23
SBS29,100,24
SBS3,100,25
SBS30,100,26
SBS31,100,27
SBS32,100,28
SBS33,100,29
SBS34,100,30
SBS35,100,31
SBS36,100,32
SBS37,100,33
SBS38,100,34
SBS39,100,35
SBS4,500,36
SBS40,100,37
SBS41,100,38
SBS42,100,39
SBS43,100,40
SBS44,100,41
SBS45,100,42
SBS46,100,43
SBS47,100,44
SBS48,100,45
SBS49,100,46
SBS5,1000,47
SBS50,100,48
SBS51,100,49
SBS52,100,50
SBS53,100,51
SBS54,100,52
SBS55,100,53
SBS56,100,54
SBS57,100,55
SBS58,100,56
SBS59,100,57
SBS6,100,58
SBS60,100,59
SBS7a,100,60
SBS7b,100,61
SBS7c,100,62
SBS7d,100,63
SBS8,100,64
SBS9,100,65
